year,property_type_label,build_type,median_price,avg_price,total_sales,date
1998,Semi-Detached,New Build,59995.0,71218.81791693646,21622,1998-01-01
1998,Terraced,Existing,49950.0,63847.70578051962,304419,1998-01-01
1998,Terraced,New Build,67690.0,82811.258416687,16396,1998-01-01
1999,Detached,Existing,115000.0,143980.35909475147,238962,1999-01-01
1999,Detached,New Build,113000.0,134330.3967733516,61302,1999-01-01
1999,Flat/Maisonette,Existing,64950.0,88502.26439491149,172231,1999-01-01
1999,Flat/Maisonette,New Build,104995.0,138370.35075362033,20302,1999-01-01
1999,Other,Existing,50000.0,72836.0,3,1999-01-01
1999,Semi-Detached,Existing,66000.0,81292.21721676653,317609,1999-01-01
1999,Semi-Detached,New Build,65500.0,79021.67889516398,21071,1999-01-01
1999,Terraced,Existing,55000.0,72206.61401926361,341473,1999-01-01
1999,Terraced,New Build,77000.0,96087.53752627692,17601,1999-01-01
2000,Detached,Existing,128000.0,164082.9526310073,211763,2000-01-01
2000,Detached,New Build,123995.0,148241.2524892134,60260,2000-01-01
2000,Flat/Maisonette,Existing,75000.0,102423.14709156194,167100,2000-01-01
2000,Flat/Maisonette,New Build,122500.0,161485.57177649759,21351,2000-01-01
2000,Other,Existing,158562.5,162343.75,4,2000-01-01
2000,Semi-Detached,Existing,71950.0,90210.5581251658,297797,2000-01-01
2000,Semi-Detached,New Build,72950.0,89364.5179509163,18662,2000-01-01
2000,Terraced,Existing,59500.0,80033.70804875105,331480,2000-01-01
2000,Terraced,New Build,87995.0,112103.05183699947,16957,2000-01-01
2001,Detached,Existing,143500.0,180852.5739427931,239097,2001-01-01
2001,Detached,New Build,135995.0,164732.56267983376,56302,2001-01-01
2001,Flat/Maisonette,Existing,85500.0,114041.49070625668,176947,2001-01-01
2001,Flat/Maisonette,New Build,127725.0,160153.12436402586,26141,2001-01-01
2001,Other,Existing,1400000.0,1400000.0,2,2001-01-01
2001,Semi-Detached,Existing,81450.0,101448.2044917151,332835,2001-01-01
2001,Semi-Detached,New Build,84950.0,103819.03391647855,17720,2001-01-01
2001,Terraced,Existing,67500.0,88251.37911108264,374658,2001-01-01
2001,Terraced,New Build,105950.0,129201.85318805937,17989,2001-01-01
2002,Detached,Existing,170000.0,210893.55030571044,260050,2002-01-01
2002,Detached,New Build,159995.0,189976.5537194808,52467,2002-01-01
2002,Flat/Maisonette,Existing,105995.0,133730.61681435944,194548,2002-01-01
2002,Flat/Maisonette,New Build,137000.0,163603.1834749208,35667,2002-01-01
2002,Other,Existing,122500.0,140250.0,4,2002-01-01
2002,Semi-Detached,Existing,97000.0,119331.67055632772,354701,2002-01-01
2002,Semi-Detached,New Build,104995.0,125678.14667250437,18272,2002-01-01
2002,Terraced,Existing,79500.0,101873.13070565088,412201,2002-01-01
2002,Terraced,New Build,124995.0,146611.23245614034,20520,2002-01-01
2003,Detached,Existing,202000.0,243934.31283665617,228720,2003-01-01
2003,Detached,New Build,187995.0,218379.88959295204,42452,2003-01-01
2003,Flat/Maisonette,Existing,122500.0,143578.6436089234,181949,2003-01-01
2003,Flat/Maisonette,New Build,147500.0,177021.84672405547,41820,2003-01-01
2003,Other,Existing,104832.0,103916.0,4,2003-01-01
2003,Semi-Detached,Existing,122000.0,139369.72316518443,328221,2003-01-01
2003,Semi-Detached,New Build,135000.0,150625.17783225953,17539,2003-01-01
2003,Terraced,Existing,93000.0,115075.86834142049,394247,2003-01-01
2003,Terraced,New Build,144950.0,160436.51624875102,21017,2003-01-01
2004,Detached,Existing,231000.0,273745.36987130897,236147,2004-01-01
2004,Detached,New Build,215495.0,248199.90383793486,35097,2004-01-01
2004,Flat/Maisonette,Existing,137500.0,163642.18968749183,191515,2004-01-01
2004,Flat/Maisonette,New Build,159950.0,186420.2876627274,48317,2004-01-01
2004,Other,Existing,156750.0,158875.0,4,2004-01-01
2004,Semi-Detached,Existing,143000.0,161794.84999268077,327904,2004-01-01
2004,Semi-Detached,New Build,156000.0,173133.53235734487,18033,2004-01-01
2004,Terraced,Existing,115000.0,134920.54884481188,390932,2004-01-01
2004,Terraced,New Build,162000.0,178480.44914716022,22044,2004-01-01
2005,Detached,Existing,245000.0,294524.363448754,186073,2005-01-01
2005,Detached,New Build,237500.0,271703.0197694804,26809,2005-01-01
2005,Flat/Maisonette,Existing,142500.0,170836.4348668092,153877,2005-01-01
2005,Flat/Maisonette,New Build,157995.0,185422.7881188798,58311,2005-01-01
2005,Other,Existing,462500.0,375550.8333333333,6,2005-01-01
2005,Semi-Detached,Existing,152000.0,172886.78811714126,271433,2005-01-01
2005,Semi-Detached,New Build,165000.0,184314.2688230662,16509,2005-01-01
2005,Terraced,Existing,122500.0,145754.3971570066,327120,2005-01-01
2005,Terraced,New Build,170000.0,188612.38208759876,21393,2005-01-01
2006,Detached,Existing,250000.0,311114.96054046,248381,2006-01-01
2006,Detached,New Build,249950.0,287771.62888078234,25768,2006-01-01
2006,Flat/Maisonette,Existing,150000.0,185696.50065171332,198707,2006-01-01
2006,Flat/Maisonette,New Build,158000.0,184411.80851790696,70252,2006-01-01
2006,Other,Existing,138000.0,867471.6842105263,19,2006-01-01
2006,Semi-Detached,Existing,160000.0,184005.13972798522,345643,2006-01-01
2006,Semi-Detached,New Build,176000.0,195699.70578417266,17375,2006-01-01
2006,Terraced,Existing,133000.0,160358.05480671063,396685,2006-01-01
2006,Terraced,New Build,175000.0,195606.56237615232,23214,2006-01-01
2007,Detached,Existing,274000.0,338175.03119656513,239193,2007-01-01
2007,Detached,New Build,260000.0,309119.2887363147,16167,2007-01-01
2007,Flat/Maisonette,Existing,162500.0,202737.00874451495,221739,2007-01-01
2007,Flat/Maisonette,New Build,159747.0,183088.87201337283,55037,2007-01-01
2007,Other,Existing,98000.0,159508.10344827586,29,2007-01-01
2007,Other,New Build,15000.0,15000.0,1,2007-01-01
2007,Semi-Detached,Existing,169950.0,197799.11004046848,331369,2007-01-01
2007,Semi-Detached,New Build,184995.0,204136.60052013554,12689,2007-01-01
2007,Terraced,Existing,142500.0,174938.846381389,379303,2007-01-01
2007,Terraced,New Build,184950.0,201784.91828929068,17256,2007-01-01
2008,Detached,Existing,265000.0,338989.6199784927,119959,2008-01-01
2008,Detached,New Build,250000.0,301229.9440166682,11039,2008-01-01
2008,Flat/Maisonette,Existing,158000.0,201290.21154491985,104219,2008-01-01
2008,Flat/Maisonette,New Build,153995.0,184393.06558875897,41562,2008-01-01
2008,Other,Existing,62275.0,224043.29411764705,17,2008-01-01
2008,Semi-Detached,Existing,164000.0,193501.97427369776,164773,2008-01-01
